time_us,detValue
563010,3.194800
564010,3.209500
566010,3.091900
567014,3.121300
569010,2.739100
570010,2.778300
572010,2.724400
573010,2.704800
574010,2.670500
576010,2.881200
577010,2.611700
579010,2.690100
580010,2.763600
582010,2.797900
583010,2.876300
585010,2.621500
586010,2.763600
588010,2.739100
589010,2.851800
590010,2.655800
592010,2.822400
593010,2.729300
595010,2.690100
596010,2.856700
598010,2.744000
599011,2.793000
601010,2.797900
602010,2.797900
604010,2.660700
605010,2.597000
606010,2.587200
608010,2.621500
609010,2.827300
611010,2.846900
612010,2.842000
614010,2.954700
615010,2.837100
617010,2.910600
618010,2.832200
620010,2.636200
621010,2.685200
623010,2.861600
624010,2.729300
625010,2.763600
627010,2.601900
628010,2.665600
630010,2.660700
631010,2.832200
633010,2.812600
634010,2.646000
636010,2.587200
637010,2.763600
639010,2.778300
640010,2.592100
641010,2.719500
643010,2.690100
644010,2.690100
646010,2.748900
647010,2.930200
649010,2.695000
650011,2.788100
652010,2.817500
653010,2.763600
655010,2.748900
656010,2.778300
657010,2.768500
659010,2.817500
660010,2.660700
662010,2.729300
663010,2.797900
665010,2.900800
666010,2.925300
668010,2.567600
669010,2.582300
671010,2.685200
672010,2.631300
674010,2.636200
675010,2.577400
676010,2.631300
678010,2.778300
679010,2.670500
681010,2.891000
682010,2.802800
684010,2.773400
685010,2.768500
687010,2.734200
688010,2.670500
690010,2.842000
691010,2.636200
692010,2.587200
694010,2.650900
695010,2.724400
697010,2.793000
698010,2.724400
700010,2.690100
701011,2.753800
703010,2.543100
704010,2.552900
706010,2.861600
707010,2.778300
708010,2.572500
710010,2.601900
711010,2.626400
713013,2.802800
714010,2.998800
716010,3.140900
717010,2.993900
719010,3.087000
720010,3.077200
722010,3.042900
723010,3.126200
725010,3.038000
726010,3.160500
727010,3.013500
729010,3.008600
730010,3.033100
732010,3.047800
733010,2.979200
735010,2.959600
736010,3.072300
738010,3.042900
739010,2.910600
741010,3.106600
742010,2.930200
743010,2.969400
745010,2.949800
746010,2.940000
748010,3.072300
749010,3.204600
751010,3.155600
752011,2.920400
754010,2.881200
755010,3.072300
757010,3.038000
758010,2.910600
759010,3.082100
761010,2.984100
762010,2.954700
764010,3.121300
765010,3.155600
767010,2.915500
768010,3.013500
770010,2.979200
771010,3.072300
773010,2.998800
774010,3.023300
776010,3.062500
777010,3.047800
778010,3.008600
780010,3.077200
781010,3.087000
783010,3.189900
784010,3.023300
786010,2.876300
787010,3.047800
789010,3.082100
790010,3.008600
792010,3.047800
793010,3.023300
794010,2.935100
796010,3.126200
797010,3.214400
799010,3.116400
800010,3.185000
802010,3.116400
803011,2.984100
805010,3.096800
806010,3.082100
808010,2.856700
809010,3.111500
810010,3.077200
812010,3.096800
813010,3.096800
815010,3.096800
816010,3.199700
818010,2.920400
819010,3.033100
821010,3.077200
822010,2.944900
824010,3.018400
825010,2.910600
827010,3.096800
828010,2.930200
829010,2.940000
831010,3.116400
832010,3.003700
834010,2.974300
835010,3.047800
837010,2.876300
838010,2.984100
840010,3.121300
841010,2.989000
843010,3.126200
844010,2.900800
845010,3.091900
847010,3.258500
848010,3.214400
850010,2.969400
851010,3.091900
853010,3.023300
854011,3.013500
856010,3.003700
857010,2.856700
859014,3.160500
860010,2.807700
861010,2.837100
863010,2.650900
864010,2.891000
866010,2.846900
867010,2.881200
869010,2.548000
870010,2.543100
872010,2.695000
873010,2.650900
875010,2.753800
876010,2.856700
878010,2.631300
879010,2.832200
880010,2.827300
882010,2.886100
883010,2.714600
885010,2.788100
886010,2.763600
888010,2.724400
889010,2.827300
891010,2.660700
892010,2.592100
894010,2.685200
895010,2.871400
896010,2.866500
898010,2.797900
899010,2.695000
901010,2.714600
902010,2.572500
904010,2.685200
905011,2.763600
907010,2.714600
908010,2.631300
910010,2.802800
911010,2.690100
912010,2.641100
914010,2.822400
915010,2.954700
917010,2.724400
918010,2.660700
920010,2.675400
921010,2.665600
923010,2.778300
924010,2.783200
926010,2.744000
927010,2.621500
929010,2.675400
930010,2.724400
931010,2.974300
933010,2.793000
934010,2.778300
936010,2.753800
937010,2.699900
939010,2.729300
940010,2.866500
942010,2.577400
943010,2.699900
945010,2.837100
946010,2.690100
947010,2.940000
949010,2.724400
950010,2.626400
952010,2.729300
953010,2.724400
955010,2.528400
956011,2.680300
958010,2.597000
959010,2.832200
961010,2.739100
962010,2.788100
963010,2.846900
965010,2.964500
966010,2.817500
968010,2.601900
969010,2.753800
971010,2.601900
972010,2.621500
974010,2.793000
975010,2.592100
977010,2.744000
978010,2.709700
980010,2.822400
981010,2.846900
982010,2.748900
984010,2.734200
985010,2.567600
987010,2.714600
988010,2.763600
990010,2.748900
991010,2.611700
993010,2.846900
994010,2.807700
996010,2.846900
997010,2.940000
998010,2.827300
1000010,2.837100
1001010,2.807700
1003010,2.616600
1005012,2.660700
1006010,3.106600
1008010,2.935100
1009010,3.023300
1011010,3.042900
1012010,3.145800
1014010,3.253600
1015010,3.077200
1017010,3.067400
1018010,3.067400
1020010,3.087000
1022010,2.866500
1023010,3.116400
1025010,3.101700
1026010,3.140900
1028010,2.974300
1029010,3.008600
1031010,3.023300
1032010,2.979200
1034010,2.969400
1035010,2.940000
1037010,2.935100
1038010,2.915500
1040010,3.136000
1042010,3.018400
1043010,3.155600
1045010,2.886100
1046011,3.028200
1048010,3.224200
1049010,3.028200
1051010,2.881200
1052010,3.057600
1054010,2.783200
1055010,3.062500
1057010,2.998800
1059010,2.974300
1060010,3.126200
1062010,2.891000
1063010,3.023300
1065010,3.096800
1066010,2.969400
1068010,3.111500
1069010,3.028200
1071010,2.974300
1072010,2.886100
1074010,2.989000
1076010,3.082100
1077010,3.126200
1079010,3.091900
1080010,3.185000
1082010,3.140900
1083010,3.096800
1085010,2.910600
1086010,2.964500
1088010,2.998800
1089010,3.062500
1091010,2.984100
1092010,3.003700
1094010,2.984100
1096010,3.033100
1097010,3.131100
1099010,3.219300
1100011,3.194800
1102010,2.935100
1103010,3.101700
1105010,2.895900
1106010,3.091900
1108010,3.096800
1109010,3.072300
1111010,2.984100
1113010,3.140900
1114010,3.150700
1116010,3.160500
1117010,3.018400
1119010,3.077200
1120010,3.096800
1122010,2.974300
1123010,3.038000
1125010,2.866500
1126010,3.091900
1128010,3.018400
1130010,2.925300
1131010,3.013500
1133010,3.204600
1134010,2.989000
1136010,2.989000
1137010,2.842000
1139010,2.993900
1140010,3.003700
1142010,2.964500
1143010,3.072300
1145010,2.989000
1146010,3.047800
1148010,3.067400
1150010,3.126200
1151010,2.940000
1153010,3.067400
1154011,2.846900
1156010,2.944900
1157010,2.891000
1159014,3.052700
1160010,2.690100
1162010,2.881200
1163010,2.739100
1165010,2.690100
1167010,2.685200
1168010,2.631300
1170010,2.690100
1171010,2.587200
1173010,2.773400
1174010,2.636200
1176010,2.827300
1177010,2.719500
1179010,2.861600
1180010,2.665600
1182010,2.954700
1184010,2.709700
1185010,2.763600
1187010,2.719500
1188010,2.626400
1190010,2.592100
1191010,2.631300
1193010,2.876300
1194010,2.802800
1196010,2.660700
1197010,2.940000
1199010,2.827300
1200010,2.773400
1202010,2.817500
1204010,2.763600
1205010,2.802800
1207010,2.621500
1208011,2.572500
1210010,2.601900
1211010,2.592100
1213010,2.797900
1214010,2.724400
1216010,2.660700
1217010,2.734200
1219010,2.665600
1221010,2.748900
1222010,2.797900
1224010,2.646000
1225010,2.734200
1227010,2.719500
1228010,2.680300
1230010,2.832200
1231010,2.905700
1233010,2.891000
1234010,2.729300
1236010,2.714600
1238010,2.646000
1239010,2.572500
1241010,2.817500
1242010,2.719500
1244010,2.655800
1245010,2.763600
1247010,2.944900
1248010,2.763600
1250010,2.895900
1251010,2.675400
1253010,2.660700
1254010,2.768500
1256010,2.699900
1258010,2.611700
1259010,2.670500
1261010,2.680300
1262011,2.621500
1264010,2.964500
1265010,2.895900
1267010,2.895900
1268010,2.748900
1270010,2.592100
1271010,2.611700
1273010,2.695000
1275010,2.812600
1276010,2.871400
1278010,2.734200
1279010,2.582300
1281010,2.758700
